epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,36763.8,0.50283,0.3207,0.99603,0.93495,0.95292,0.9338,0.64469,1.11747,0.48469,1.5154,0.000387994,0.000387994,0.000387994
157,37009.2,0.51026,0.34025,1.01334,0.93651,0.95292,0.94688,0.6597,1.10284,0.47107,1.49832,0.000379743,0.000379743,0.000379743
158,37251.9,0.49661,0.32171,1.00166,0.94615,0.96574,0.96193,0.65464,1.11516,0.47845,1.53228,0.000371491,0.000371491,0.000371491
159,37486,0.50041,0.31852,1.0109,0.95781,0.95292,0.96119,0.64673,1.1273,0.47654,1.54779,0.000363239,0.000363239,0.000363239
160,37716.2,0.49447,0.31806,0.99929,0.9575,0.95292,0.94963,0.63841,1.11637,0.48633,1.53448,0.000354988,0.000354988,0.000354988
161,37958.1,0.51078,0.32425,1.01286,0.9469,0.96574,0.94957,0.63178,1.11119,0.49397,1.53251,0.000346736,0.000346736,0.000346736
162,38204.3,0.48987,0.32475,1.00429,0.93421,0.95292,0.93858,0.6318,1.11877,0.49853,1.54366,0.000338484,0.000338484,0.000338484
163,38511.4,0.50047,0.32336,1.00108,0.93521,0.96574,0.95136,0.64271,1.10537,0.49619,1.52277,0.000330233,0.000330233,0.000330233
164,38852,0.48057,0.30885,0.99349,0.93434,0.95292,0.93303,0.63504,1.09956,0.47666,1.52455,0.000321981,0.000321981,0.000321981
165,39187.7,0.49365,0.31708,0.99574,0.93386,0.95292,0.94902,0.64897,1.10626,0.46319,1.52148,0.000313729,0.000313729,0.000313729
166,39478.8,0.48171,0.32146,0.99895,0.95947,0.96337,0.95958,0.64486,1.11311,0.47222,1.51568,0.000305478,0.000305478,0.000305478
167,39782.8,0.49999,0.32281,1.00455,0.95494,0.9401,0.94948,0.62737,1.11836,0.48181,1.52406,0.000297226,0.000297226,0.000297226
168,40017.8,0.48186,0.31274,0.99858,0.96065,0.96418,0.95021,0.62465,1.1332,0.47618,1.55856,0.000288974,0.000288974,0.000288974
169,40246.9,0.47198,0.2974,0.98607,0.94832,0.96482,0.9591,0.64145,1.12622,0.48397,1.55114,0.000280723,0.000280723,0.000280723
170,40482.3,0.48697,0.3262,0.99559,0.9407,0.96574,0.95684,0.63809,1.12931,0.48706,1.54131,0.000272471,0.000272471,0.000272471
